protein id,location
AT4G10340.1,chloroplast
AT4G10750.1,chloroplast
AT4G11960.1,chloroplast
AT4G12060.1,chloroplast
AT4G12800.1,chloroplast
AT4G13050.1,chloroplast
AT4G13200.1,chloroplast
AT4G13220.1,chloroplast
AT4G13430.1,chloroplast
AT4G13550.1,chloroplast
AT4G13590.2,chloroplast
AT4G13670.1,chloroplast
AT4G14210.1,chloroplast
AT4G14870.1,chloroplast
AT4G15110.1,chloroplast
AT4G15510.1,chloroplast
AT4G15560.1,chloroplast
AT4G16155.1,chloroplast
AT4G16390.1,chloroplast
AT4G17040.1,chloroplast
AT4G17600.1,chloroplast
AT4G17740.1,chloroplast
AT4G18240.1,chloroplast
AT4G18440.1,chloroplast
AT4G18480.1,chloroplast
AT4G18810.2,chloroplast
AT4G19390.1,chloroplast
AT4G19710.1,chloroplast
AT4G20130.1,chloroplast
AT4G20360.1,chloroplast
AT4G20960.1,chloroplast
AT4G21280.1,chloroplast
AT4G22240.1,chloroplast
AT4G22890.1,chloroplast
AT4G23100.1,chloroplast
AT4G23890.1,chloroplast
AT4G24280.1,chloroplast
AT4G24620.1,chloroplast
AT4G24750.1,chloroplast
AT4G24830.1,chloroplast
AT4G24930.1,chloroplast
AT4G25080.1,chloroplast
AT4G25370.1,chloroplast
AT4G25450.3,chloroplast
AT4G26500.1,chloroplast
AT4G26900.1,chloroplast
AT4G27070.1,chloroplast
AT4G27440.1,chloroplast
AT4G27700.1,chloroplast
AT4G28590.1,chloroplast
AT4G28660.1,chloroplast
AT4G28730.1,chloroplast
AT4G29060.1,chloroplast
AT4G29840.1,chloroplast
AT4G30580.1,chloroplast
AT4G30690.1,chloroplast
AT4G30720.1,chloroplast
AT4G30910.1,chloroplast
AT4G31390.1,chloroplast
AT4G31530.2,chloroplast
AT4G31990.1,chloroplast
AT4G32590.3,chloroplast
AT4G33460.1,chloroplast
AT4G33500.1,chloroplast
AT4G33510.1,chloroplast
AT4G33580.1,chloroplast
AT4G33680.1,chloroplast
AT4G34240.1,chloroplast
AT4G34350.1,chloroplast
AT4G36530.1,chloroplast
AT4G37510.1,chloroplast
AT4G37920.1,chloroplast
AT4G38380.1,chloroplast
AT5G01600.1,chloroplast
AT5G03900.1,chloroplast
AT5G05200.1,chloroplast
AT5G05730.1,chloroplast
AT5G08650.1,chloroplast
AT5G10160.1,chloroplast
AT5G10920.1,chloroplast
AT5G13410.1,chloroplast
AT5G13720.1,chloroplast
AT5G14320.1,chloroplast
AT5G14910.1,chloroplast
AT5G16660.2,chloroplast
AT5G16710.1,chloroplast
AT5G19940.1,chloroplast
AT5G22510.1,chloroplast
AT5G22630.1,chloroplast
AT5G23120.2,chloroplast
AT5G23440.1,chloroplast
AT5G23890.1,chloroplast
AT5G24490.1,chloroplast
AT5G28500.1,chloroplast
AT5G28750.1,chloroplast
AT5G35100.1,chloroplast
AT5G35170.1,chloroplast
AT5G35970.1,chloroplast
AT5G38520.1,chloroplast
AT5G39830.2,chloroplast
AT5G42650.1,chloroplast
AT5G42765.1,chloroplast
AT5G44650.1,chloroplast
AT5G45170.1,chloroplast
AT5G46290.3,chloroplast
AT5G46390.2,chloroplast
AT5G47860.1,chloroplast
AT5G48960.1,chloroplast
AT5G50250.1,chloroplast
AT5G52410.3,chloroplast
AT5G52540.1,chloroplast
AT5G55220.1,chloroplast
AT5G57040.1,chloroplast
AT5G57850.2,chloroplast
AT5G58250.1,chloroplast
AT5G60600.1,chloroplast
AT5G61670.1,chloroplast
AT5G63060.1,chloroplast
AT5G63890.1,chloroplast
AT5G64040.1,chloroplast
AT5G64940.1,chloroplast
AT5G65220.1,chloroplast
AT5G65250.1,chloroplast
AT5G66090.1,chloroplast
AT5G66120.1,chloroplast
AT5G66530.1,chloroplast
AT5G67030.1,chloroplast
ATCG00330.1,chloroplast
ATCG00340.1,chloroplast
ATCG00350.1,chloroplast
ATCG00380.1,chloroplast
ATCG00470.1,chloroplast
ATCG01120.1,chloroplast
AT1G03130.1,chloroplast
AT1G10960.1,chloroplast
AT1G14810.1,chloroplast
AT1G29930.1,chloroplast
AT1G32060.1,chloroplast
AT1G54580.1,chloroplast
AT2G36885.2,chloroplast
AT2G38140.1,chloroplast
AT2G46820.1,chloroplast
AT3G07430.1,chloroplast
AT3G20230.1,chloroplast
AT3G21140.1,chloroplast
AT3G25770.1,chloroplast
AT3G48730.1,chloroplast
AT3G54090.1,chloroplast
AT3G55040.1,chloroplast
AT4G14680.1,chloroplast
AT4G24770.1,chloroplast
AT5G62720.1,chloroplast
AT1G25290.1,chloroplast
AT1G65410.1,chloroplast
AT3G26570.1,chloroplast
AT4G00370.1,chloroplast
AT5G63040.1,chloroplast
AT5G64580.1,chloroplast
AT1G05620.1,cytosol
AT1G06110.1,cytosol
AT1G06650.1,cytosol
AT1G06900.1,cytosol
AT1G08980.1,cytosol
AT1G12050.1,cytosol
AT1G12780.1,cytosol
AT1G17710.1,cytosol
AT1G17720.1,cytosol
AT1G21100.1,cytosol
AT1G22300.1,cytosol
AT1G22440.1,cytosol
AT1G23140.1,cytosol
AT1G23190.1,cytosol
AT1G23440.1,cytosol
AT1G23820.1,cytosol
AT1G25350.1,cytosol
AT1G27150.1,cytosol
AT1G28350.1,cytosol
AT1G29990.1,cytosol
AT1G37130.1,cytosol
AT1G43670.1,cytosol
AT1G43690.1,cytosol
AT1G49820.1,cytosol
AT1G50110.1,cytosol
AT1G50370.1,cytosol
AT1G50380.2,cytosol
AT1G50480.1,cytosol
AT1G53310.1,cytosol
AT1G53500.1,cytosol
AT1G54100.1,cytosol
AT1G55090.1,cytosol
AT1G55840.1,cytosol
AT1G56700.1,cytosol
AT1G59520.4,cytosol
AT1G59960.1,cytosol
AT1G60420.1,cytosol
AT1G60690.1,cytosol
AT1G60710.1,cytosol
AT1G60730.1,cytosol
AT1G63000.1,cytosol
AT1G65050.1,cytosol
AT1G65930.1,cytosol
AT1G65980.1,cytosol
AT1G68760.1,cytosol
AT1G70980.1,cytosol
AT1G71100.1,cytosol
AT1G71440.1,cytosol
AT1G71697.1,cytosol
AT1G71750.2,cytosol
AT1G72550.1,cytosol
AT1G72680.1,cytosol
AT1G75270.1,cytosol
AT1G76680.1,cytosol
AT1G77120.1,cytosol
AT1G78280.1,cytosol
AT1G78300.1,cytosol
AT1G78570.1,cytosol
AT1G79690.1,cytosol
AT1G80360.1,cytosol
AT1G80460.2,cytosol
AT2G02390.1,cytosol
AT2G03800.1,cytosol
AT2G16060.1,cytosol
AT2G16370.1,cytosol
AT2G16600.1,cytosol
AT2G17280.1,cytosol
AT2G17340.1,cytosol
AT2G18250.1,cytosol
AT2G19570.1,cytosol
AT2G21130.1,cytosol
AT2G21250.1,cytosol
AT2G22240.1,cytosol
AT2G22570.1,cytosol
AT2G24190.1,cytosol
AT2G24200.1,cytosol
AT2G27150.1,cytosol
AT2G27860.1,cytosol
AT2G29420.1,cytosol
AT2G29450.1,cytosol
AT2G29560.1,cytosol
AT2G30140.1,cytosol
AT2G30860.1,cytosol
AT2G30870.1,cytosol
AT2G31390.1,cytosol
AT2G32120.1,cytosol
AT2G35020.1,cytosol
AT2G36460.1,cytosol
AT2G36530.1,cytosol
AT2G37760.1,cytosol
AT2G37790.1,cytosol
AT2G38230.1,cytosol
AT2G38680.1,cytosol
AT2G38740.1,cytosol
AT2G40840.1,cytosol
AT2G41530.1,cytosol
AT2G41740.1,cytosol
AT2G42600.2,cytosol
AT2G43760.1,cytosol
AT2G43790.1,cytosol
AT2G43980.1,cytosol
AT2G44100.1,cytosol
AT2G44160.1,cytosol
AT2G47970.1,cytosol
AT3G01590.1,cytosol
AT3G02870.1,cytosol
AT3G06540.1,cytosol
AT3G06580.1,cytosol
AT3G08590.1,cytosol
AT3G09300.1,cytosol
AT3G09440.1,cytosol
AT3G09820.1,cytosol
AT3G09840.1,cytosol
AT3G09890.1,cytosol
AT3G09970.1,cytosol
AT3G10850.1,cytosol
AT3G11750.1,cytosol
AT3G12600.1,cytosol
AT3G14940.1,cytosol
AT3G15610.1,cytosol
AT3G16520.1,cytosol
AT3G16640.1,cytosol
AT3G16990.1,cytosol
AT3G17365.1,cytosol
AT3G17940.1,cytosol
AT3G18860.1,cytosol
AT3G18940.1,cytosol
AT3G19000.1,cytosol
AT3G19980.1,cytosol
AT3G19990.2,cytosol
AT3G20630.1,cytosol
AT3G21360.1,cytosol
AT3G22850.1,cytosol
AT3G23570.1,cytosol
AT3G23600.1,cytosol
AT3G25230.1,cytosol
AT3G25530.1,cytosol
