ID1,ID2,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10
F4J5S1-2,AT3G52140.1,0.17976,0.47997,0.00946,0.01188,0.37488,0.20698,1,0,0.4436,0.22095
Q8VYM4,AT3G52150.1,0.01328,0.00477,0.0147,0.94125,0.02236,0,0.55086,1,0.01884,0.02719
A0A1I9LM49,AT3G52155.2,0.0105,0.00055,0.03151,0.9298,0.0105,0.45937,0.06025,1,0,0.04035
Q8L641,AT3G52170.1,0.00468,0.00386,0.04135,1,0.00463,0.0573,0.13597,0.9805,0,0.02689
Q9FEB5,AT3G52180.1,0.02375,0.01522,0.04928,1,0.00671,0.08292,0.01555,0.94379,0,0.03569
Q8GYE0,AT3G52190.1,1,0.46226,0.29588,0.04794,0.55765,0.03903,0,0.11337,0.49774,0.93522
F4J5T2,AT3G52200.2,0,0.02923,0.29932,1,0.01228,0.04796,0.45894,0.49045,0.01948,0.01706
Q94JX8,AT3G52220.1,0.01963,0,0,0,0.04132,0.09298,1,0,0.01963,0.02066
Q9SUY2,AT3G52230.1,0.36568,0.03286,0.22918,0.83629,0.13361,0.01552,0,1,0.05731,0.34116
Q8GYC9,AT3G52240.1,0.83307,0.43304,0.02631,0.03045,1,0,0.22624,0.03795,0.66183,0.97162
Q9FT53,AT3G52290.1,0.40449,1,0.17416,0,0.82584,0.53371,0.35955,0.1573,0.97191,0.43258
Q9FT52,AT3G52300.1,0.06314,0,1,0.35626,0.03751,0.0155,0.01774,0.37428,0.00392,0.03914
Q93XN8,AT3G52340.1,0.19281,0.29232,0.0122,0.05669,0.32524,1,0,0.05745,0.34202,0.25775
Q39061,AT3G52380.1,0.0027,0.00079,0.03338,0.99585,0,0.04492,0.14642,1,0.00309,0.02241
Q84TD7,AT3G52390.1,0.14073,0.20339,0,0.17015,0.24526,1,0.02161,0.19354,0.24731,0.19682
Q9SVC2,AT3G52400.1,0.56635,1,0.17019,0.09438,0.61882,0,0.04014,0.07229,0.81182,0.5641
Q9SVC4,AT3G52420.1,0.05691,0.05549,1,0.31882,0.08159,0.00613,0,0.41519,0.0316,0.06115
Q9SVC8,AT3G52470.1,0.98145,0.63015,0.22981,0.96749,0.67637,0.04388,0,0.39994,0.73219,1
Q9SVD1,AT3G52500.1,0.06438,0,0.01847,0.05679,0.05761,0.45204,1,0.00652,0.02725,0.06002
Q9SVD7,AT3G52560.1,0.78392,0.47685,0.06514,0,0.94378,0.84596,0.18481,0.0901,0.6806,1
Q8VXV0,AT3G52570.1,0,0.19976,0.54576,1,0.0674,0.49165,0.12602,0.08897,0.12176,0.00878
P42036,AT3G52580.1,0.28534,0.6127,0.0901,0.10026,0.43668,0,1,0.0904,0.64626,0.3173
Q8H1S5,AT3G52610.1,0.04069,0.05629,0.12622,0,0.05288,1,0.0424,0.05263,0.05897,0.06506
Q9LXK1,AT3G52630.1,0.117,0.13575,0,0.0265,0.19134,1,0.91532,0.02586,0.14674,0.15126
Q8GUM5,AT3G52640.1,0.32811,0.22185,0.08894,0.0334,1,0,0.05612,0.05199,0.4391,0.48486
Q9LXJ8,AT3G52660.1,0.01316,0.01995,0,0.00769,0.05433,0.19192,1,0.02194,0.06318,0.02423
Q9LXJ3,AT3G52710.1,0.99125,0.3207,0.29446,0,0.52187,0.10204,0.26239,0.13703,0.49271,1
Q9LXJ2,AT3G52730.1,0.05443,0,1,0.32511,0.045,0.00898,0.00136,0.37125,0.00307,0.0292
Q9LXJ0,AT3G52750.1,0.02331,0,0.0476,0.95661,0.00308,0.6351,0.05091,1,0.01117,0.07787
Q9LXI9,AT3G52760.1,1,0.4026,0.23956,0.0493,0.66636,0,0.03811,0.08984,0.52359,0.94041
P93026,AT3G52850.1,0.38904,0.15115,0.04197,0,1,0.06644,0.02455,0.02616,0.49236,0.54488
Q9LFA5,AT3G52860.1,0.06226,0.07315,0.00778,0.00389,0.06226,0.01323,1,0,0.07782,0.08016
Q9LFA3,AT3G52880.1,0.33059,0.45447,0.00753,0.00026,0.52991,1,0.00395,0,0.51149,0.37627
Q9LFA2,AT3G52890.1,0.81674,0.50226,0.28507,0,0.91176,0.14932,0.8733,0.03167,0.82805,1
Q9LFA1,AT3G52900.1,0.02304,0,0.01862,0.1401,0.04166,0.03607,1,0.17198,0.0263,0.04189
Q9LF99,AT3G52920.2,0.76522,0.95407,0.08473,0.03902,1,0,0.30903,0.03924,0.90747,0.83902
